TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
PP客車用串列及網路控制交換機總成(SES)400ST,國營臺灣鐵路股份有限公司,神通資訊科技股份有限公司 (MiTAC Information Technology Corp.),"台灣松下銷售股份有限公司 (Panasonic Sales Taiwan Co.,Ltd.)",63514500,1
半導體智慧製造資安認驗證先導推動計畫,數位發展部數位產業署,財團法人資訊工業策進會,勤業眾信管理顧問股份有限公司 (Deloitte & Touche Consulting Co.),19000000,1
全院有線網路系統維護案1式,國立臺灣大學醫學院附設醫院,中孚科技股份有限公司 (Sanfran Technologies lnc),,59496188,1
地政資訊網路e點通服務系統委託整合建置暨營運案,臺北市政府地政局,中華電信股份有限公司企業客戶分公司,,200000000,1
行政院主計總處「114年網路填報相關系統功能增修及維護案」勞務採購案,行政院主計總處,三商電腦股份有限公司 (MERCURIES DATA SYSTEMS LTD.),,4465000,1
建置基於PI系統架構的數據儲存展示應用系統及其高雄異地備援系統,台灣電力股份有限公司,薈智創新科技股份有限公司 (IIoTFab Inc.),台灣橫河股份有限公司高雄分公司,23413092,1
後量子安全暨供應鏈資安推動計畫,數位發展部數位產業署,財團法人資訊工業策進會,,179700000,1
核心網路交換器暨系統主機使用服務計畫,經濟部產業發展署,新加坡商網達先進科技有限公司台灣分公司,,4450000,1
海巡網路電話系統與電話交換機系統汰換計畫,海洋委員會海巡署,遠傳電信股份有限公司系統整合分公司,台灣固網股份有限公司,394382490,1
高雄市政府社會局114年委託辦理「高雄市公共托育機構監視影像影音儲存網際網路案」,高雄市政府社會局,華電聯網股份有限公司,中華電信股份有限公司企業客戶分公司,23750000,1
國內車聯網資安憑證管理機制實證研究計畫,交通部,中華電信股份有限公司企業客戶分公司,,14613000,1
經濟部「114年強化資料中心網路基礎建設韌性案」,經濟部,台灣艾維登股份有限公司 (Eviden(Taiwan) Ltd.),,18400000,1
經濟部「114年電腦主機與網路基礎設施相關硬體維護案」,經濟部,"藍新資訊股份有限公司 (NEWEB INFORMATION CO., LTD)",敦陽科技股份有限公司 (STARK TECHNOLOGY INC.),11000000,1
經濟部「114年關鍵基礎設施資安聯防服務案」,經濟部,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),,13000000,1
經濟部「115年資安整合聯防機制服務案」,經濟部,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),,8085000,1
資安深耕及沙崙實驗計畫,數位發展部數位產業署,財團法人資訊工業策進會,,96300000,1
資安產業跨域聯防推動計畫,數位發展部數位產業署,財團法人工業技術研究院,,170000000,1
資料中心網路服務設備建置服務,台灣電力股份有限公司,淮南寰宇股份有限公司,,189271748,1
網路通訊設備,內政部警政署警察通訊所,瑞虹科技股份有限公司,陞陽科技事業股份有限公司,4876725,1
網路郵局系統增修暨維護,中華郵政股份有限公司,康和資訊系統股份有限公司 (Concord System Management Corporation),,12480000,1
網路電話設備採購案1式,國立臺灣大學醫學院附設醫院,中華電信股份有限公司企業客戶分公司,,29137000,1
網路暨行動保險服務增修暨維護,中華郵政股份有限公司,精誠資訊股份有限公司 (Systex  Corporation),,11060000,1
臺北市教育網路中心入侵防禦偵測(IPS)汰換建置案,臺北市政府教育局,華電聯網股份有限公司,群曜數位科技股份有限公司 (ChyunYao Digitalization Technology INC.),18400000,1
學術網路暨友校國際連線租用案,國立陽明交通大學,遠傳電信股份有限公司系統整合分公司,中華電信股份有限公司企業客戶分公司,19500000,1
